% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=965966, Sat Mar 21 15:51:43 2020, <python>{}</python>
1 16 0.2659001057794479 1.0000458343836967 224.05797970395594 2.2405797970395594e+02 9e+99 9e+99   
2 32 0.2371909321054156 1.133430518272349 150.36244499969635 1.5036244499969635e+02 9e+99 9e+99   
3 48 0.22463239577375888 1.1921566718468242 145.48313486897382 1.4548313486897382e+02 164.5318786169317 9e+99   
4 64 0.22231613863831387 1.2367966478400296 136.2647162578523 1.3626471625785231e+02 197.24062921297332 9e+99   
5 80 0.20603881087705944 1.321793898644552 136.2647162578523 1.4197798071386887e+02 229.7266919170478 9e+99   
6 96 0.18464337153253965 1.3755174518793052 136.2647162578523 1.4124355779751556e+02 170.8401619131953 9e+99   
7 112 0.17592097758705227 1.4883962232843482 136.2647162578523 1.4027992350542542e+02 163.19148488896172 9e+99   
8 128 0.15662155195038438 1.4677859160166826 136.2647162578523 1.4188320437379676e+02 169.66812612066008 9e+99   
9 144 0.16817886215836167 1.4929008094113612 130.64583005287994 1.3064583005287994e+02 149.29066467957512 172.10543814233944   
10 160 0.1839656849237338 1.562405625151211 130.41300554250742 1.3041300554250742e+02 144.5525434259834 9e+99   
11 176 0.1846454899757434 1.7244995165360475 128.49527962343646 1.2849527962343646e+02 207.095078034035 9e+99   
12 192 0.1685149826115729 1.7876629015429253 128.49527962343646 1.3189249266301078e+02 9e+99 9e+99   
13 208 0.1575733526757933 1.8399677231049352 128.49527962343646 1.3099950016619351e+02 149.03874975685312 9e+99   
14 224 0.15509364275154894 1.8476559557679273 128.49527962343646 1.2945893082665543e+02 139.61796262520457 9e+99   
15 240 0.15037516206081172 1.9230252340585972 128.49527962343646 1.2936550222283444e+02 139.11377514414863 9e+99   
