Date,Day,New_confirmed_cases,New_recoveries,New_deaths,Accum_confirmed,Accum_recoveries,Accum_deaths
22/01/2020,0,571,0,0,571,1,17
23/01/2020,1,259,34,8,830,34,25
24/01/2020,2,457,4,16,1287,38,41
25/01/2020,3,688,11,15,1975,49,56
26/01/2020,4,769,2,24,2744,51,80
27/01/2020,5,1771,9,26,4515,60,106
28/01/2020,6,1459,43,26,5974,103,132
